UserID,PromptID,PMCID,Valid Label,Valid Reasoning,Label,Annotations,Label Code,In Abstract,Evidence Start,Evidence End
0,2,3298351,True,True,no significant difference,"However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,1374,1485
1,2,3298351,True,True,no significant difference,"In all patients, independently of the type of compression therapy, a few significant statistical changes of ulceration area in time were observed (Student?s t test for matched pairs, p < 0.05). The largest loss of ulceration area in each of the successive measurements was observed in patients treated with the four-layer system ? on average 0.63 cm2/per week. The smallest loss of ulceration area was observed in patients using compression stockings ? on average 0.44 cm2/per week. However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,882,1481
2,2,3298351,True,True,no significant difference,"In all patients, independently of the type of compression therapy, a few significant statistical changes of ulceration area in time were observed (Student?s t test for matched pairs, p < 0.05). The largest loss of ulceration area in each of the successive measurements was observed in patients treated with the four-layer system ? on average 0.63 cm2/per week. The smallest loss of ulceration area was observed in patients using compression stockings ? on average 0.44 cm2/per week. However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,882,1481
3,2,3298351,True,True,no significant difference,"The largest loss of ulceration area in each of the successive measurements was observed in patients treated with the four-layer system �?? on average 0.63 cm2/per week. The smallest loss of ulceration area was observed in patients using compression stockings �?? on average 0.44 cm2/per week. However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,1080,1485
0,3,3298351,True,True,significantly increased,We compared the dynamics of ulcer healing of patients treated with different types of compression therapy. The changes of ulceration area were statistically significant regardless of the type of compression therapy.,1,True,12800,13016
1,3,3298351,True,True,significantly increased,The changes of ulceration area were statistically significant regardless of the type of compression therapy.,1,False,12907,13016
2,3,3298351,True,True,significantly increased,The changes of ulceration area were statistically significant regardless of the type of compression therapy.,1,False,12907,13016
3,3,3298351,False,False,invalid prompt,,3,False,-1,0
0,4,3298351,True,True,no significant difference,"What is more, no statistically significant advantage of any of the applied types of compression therapy was found (Table II).",0,True,14337,14463
1,4,3298351,True,True,no significant difference,"In all patients, independently of the type of compression therapy, a few significant statistical changes of ulceration area in time were observed (Student?s t test for matched pairs, p < 0.05). The largest loss of ulceration area in each of the successive measurements was observed in patients treated with the four-layer system ? on average 0.63 cm2/per week. The smallest loss of ulceration area was observed in patients using compression stockings ? on average 0.44 cm2/per week. However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,882,1481
2,4,3298351,True,True,no significant difference,"In all patients, independently of the type of compression therapy, a few significant statistical changes of ulceration area in time were observed (Student?s t test for matched pairs, p < 0.05). The largest loss of ulceration area in each of the successive measurements was observed in patients treated with the four-layer system ? on average 0.63 cm2/per week. The smallest loss of ulceration area was observed in patients using compression stockings ? on average 0.44 cm2/per week. However, the observed differences were not statistically significant (Kruskal-Wallis test H = 4.45, p > 0.05).",0,True,882,1481
3,4,3298351,True,True,no significant difference,complete healing was achieved in 10 (62.5%) ulcerations treated with the two-layer compression system and 9 (60%) ulcerations treated with the four-layer compression system.,0,True,14647,14821
0,5,3298351,True,True,no significant difference,"The statistical analysis did not reveal any statistically significant intra-group differences (Kruskal-Wallis test H = 3.102, p > 0.05).",0,True,17093,17230
1,5,3298351,True,True,no significant difference,"The statistical analysis showed homogeneity of study groups in terms of age, sex, initial ulceration area and the initial value of CEAP; C-6 score.",0,True,11985,12131
1,5,3298351,True,True,no significant difference,Initial CEAP score (x � SD)	11.9 �1.12	11.2 �1.3	12.6 �1.4	p > 0.05,0,True,12708,12776
2,5,3298351,True,True,no significant difference,"Together with the progress in ulceration healing, statistically significant changes in CEAP scoring values (Table III) were observed. The difference in average CEAP C-6 score of all patients was 3.6 points and was statistically significant (p < 0.001). Also, in groups of patients divided according to the type of compression therapy, the differences in CEAP scoring values were statistically significant; they gained 3.5 points among patients who used compression stockings, 3.5 points among patients treated with the ProGuide system, and 4.3 points among patients treated with the Profore system. The statistical analysis did not reveal any statistically significant intra-group differences (Kruskal-Wallis test H = 3.102, p > 0.05).",0,True,16492,17229
3,5,3298351,False,False,significantly increased,Initial CEAP score (x ± SD)	11.9 ±1.12	11.2 ±1.3	12.6 ±1.4,1,True,12707,12767
0,6,3298351,True,True,no significant difference,"The statistical analysis did not reveal any statistically significant intra-group differences (Kruskal-Wallis test H = 3.102, p > 0.05).",0,True,17093,17230
1,6,3298351,True,True,no significant difference,Initial CEAP score (x � SD)	11.9 �1.12	11.2 �1.3	12.6 �1.4	p > 0.05,0,True,12707,12777
