PromptID,PMCID,Outcome,Intervention,Comparator
213,2206488,IL-6r (ng/ml),dextran-70 infusion was administered at a dose of 7.5 ml/kg before the initiation of cardiopulmonary bypass and at a dose of 12.5 ml/kg after the cessation of cardiopulmonary bypass,identical amounts of gelatin infusion
98,2858204,downsizing of ucler area 2 weeks after treatment,HBOT ,placebo
150,2871176,Incidence of minor hypoglycaemia,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
191,2517154,Dysmenorrhea scores,Infliximab,Placebo
113,2871176,Patients reaching HbA1c goals less than 7.0% and equal or less than 6.5%,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
95,2944158,IVD dwell times,staff inclination replacement,routine replacement
163,2708184,Berg Balance Scale score,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
140,2871176,HOMA-IR,Liraglutide (all doses) plus glimepiride,Rosiglitazone plus glimepiride
106,2871176,HbA1c level at 26 weeks,Liraglutide (0.6 mg) plus glimepiride,Placebo plus glimepiride
169,2864284,Parasite clearance at day 2,Dihydroartemisinin-piperaquine,Chloroquine
162,2708184,Physical performance battery scores,Body-weight supported treadmill training combined with Lokomat (Post-test),Body-weight supported treadmill training combined with Lokomat (Pre-test)
142,2871176,Reductions in systolic blood pressure,Liraglutide (1.8 mg) plus glimepiride ,Placebo plus glimepiride 
178,2864284,Parasitaemias associated with gametocytaemia,Dihydroartemisinin-piperaquine,Chloroquine
149,2871176,Pulse variations,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
196,3187863,Pain relief: Epidural anesthesia,Midwife-led unit,Normal unit & Special unit
148,2871176,Pulse variations,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
152,2871176,Incidence of minor hypoglycaemia,Liraglutide (1.2 mg) plus glimepiride,Placebo plus glimepiride
92,2944158,phlebitis,routine replacement,staff inclination replacement
154,2871176,Changes in calcitonin at week 26,Liraglutide (all doses) plus glimepiride,Placebo plus glimepiride
125,2871176,Postprandial plasma glucose,Liraglutide (1.8 mg) plus glimepiride,Rosiglitazone plus glimepiride
121,2871176,ADA fasting plasma glucose goals between 5.0 mmol/l and less than 7.2 mmol/l,Liraglutide (1.2 mg) plus glimepiride,Rosiglitazone plus glimepiride
207,4106715,attain 8 weeks continuous abstinence from weeks 19 through 26,recipients with the highest serum anti-nicotine antibody response (top 30% by AUC),placebo group
