UserID,PromptID,PMCID,Valid Label,Valid Reasoning,Label,Annotations,Label Code,In Abstract,Evidence Start,Evidence End
0,11164,59610,True,False,no significant difference,"Recurrent venous thromboembolism
96/2212 (4.3%)
115/2235 (5.1%)
0.85 (0.65-1.12)
0.20
",0,UNK,16124,16210
3,11164,59610,True,True,no significant difference,Randomized studies have shown that LMWHs are as effective as unfractionated heparin in the prevention of recurrent venous thromboembolism,0,UNK,338,475
0,11165,59610,True,True,no significant difference,"Major haemorrhage
33/2212 (1.5%)
57/2235 (2.5%)
0.63 (0.37-1.05)
0.08
",0,UNK,16210,16280
7,11165,59610,True,True,no significant difference,"Major haemorrhage
33/2212 (1.5%)
57/2235 (2.5%)
0.63 (0.37-1.05)
0.08
",0,UNK,16210,16280
0,11166,59610,True,True,significantly decreased,"Total mortality
98/2006 (4.9%)
132/2027 (6.5%)
0.76 (0.59-0.98)
0.03
",-1,UNK,16280,16349
6,11166,59610,True,True,significantly decreased,"Interestingly, a statistically significant reduction in total mortality in patients treated with LMWHs was also found in this meta-analysis.",-1,UNK,7444,7584
0,11167,59610,True,True,significantly decreased,"here were no recurrent episodes of venous thromboembolism in the group of patients treated with tinzaparin, and seven new episodes (four pulmonary embolisms) in the unfractionated heparin group (95% confidence interval for the difference 1.9% to 11.7%; P = 0.01). Death occurred in 6.2% and 8.7% of patients, respectively;",-1,UNK,15159,15481
6,11167,59610,False,False,no significant difference,"The authors of that report concluded that LMWHs have equal effectiveness to that of unfractionated heparin in the prevention of recurrent episodes of venous thromboembolism, and equal safety with respect to the occurrence of major bleeding.",0,UNK,7203,7443
0,11167,59610,True,True,significantly decreased,"here were no recurrent episodes of venous thromboembolism in the group of patients treated with tinzaparin, and seven new episodes (four pulmonary embolisms) in the unfractionated heparin group (95% confidence interval for the difference 1.9% to 11.7%; P = 0.01). Death occurred in 6.2% and 8.7% of patients, respectively;",-1,UNK,15159,15481
1,11169,30713,True,True,no significant difference,"There was a tendency for the ratio of partial pressure of arterial oxygen to fractional inspired oxygen concentration (PaO2/FIO2) to increase (174 ± 31 versus 188 ± 36; P = 0.068) and for the ratio of deadspace to tidal volume (Vd/Vt) to decrease (0.62 ± 0.18 versus 0.59 ± 0.18; P = 0.19) during periods of CLR, but these differences did not achieve statistical significance.",0,UNK,1682,2058
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
5,11170,30713,True,True,significantly increase,There were statistically significant increases in sputum volume during the periods of CLR.,1,UNK,2059,2149
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
3,11172,32174,True,True,significantly decreased,"PHR group patients were more satisfied with the recovery they had made (79% vs. 59%, p=0.04), but felt less able to talk to staff about their problems (61% vs. 82%, p=0.02)",-1,UNK,1513,1685
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
6,11173,32174,True,True,significantly increase,"PHR group patients were significantly more afraid to ask questions of doctors than control group patients (21% vs. 4%, p=0.01).",1,UNK,13738,13865
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
1,11174,32174,True,True,no significant difference,"More PHR than control group patients felt ready to go home at the point of discharge (82% vs. 60%, p=0.14),",0,UNK,14002,14109
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
6,11175,32174,False,True,significantly decreased,"More PHR than control group patients felt ready to go home at the point of discharge (82% vs. 60%, p=0.14), but control group patients were more likely to have been instructed in how to cope at home (49% vs. 33%, p=0.11).",-1,UNK,14002,14223
0,11170,30713,True,True,significantly increased,There were statistically significant increases in sputum volume during the periods of CLR (Table 3).,1,UNK,12679,12779
6,11176,32174,True,True,significantly increase,"Significantly more PHR than control group patients felt that they had made a complete recovery from the stroke (38% vs. 14%, p=0.01), and a higher proportion felt that they had ""got their lives back together again"" (48% VS. 31%, P=0.08).",1,UNK,14393,14630
0,11177,32174,True,True,no significant difference,"and a higher proportion felt that they had ""got their lives back together again"" (48% VS. 31%, P=0.08).",0,UNK,14527,14630
3,11177,32174,True,True,no significant difference,"Significantly more PHR than control group patients felt that they had made a complete recovery from the stroke (38% vs. 14%, p=0.01), and a higher proportion felt that they had ""got their lives back together again"" (48% VS. 31%, P=0.08).",0,UNK,14393,14630
0,11178,32174,True,True,no significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12)",0,UNK,1687,1787
7,11178,32174,True,True,no significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12) and treatment (26% vs. 45%, p=0.07), and were more afraid of asking doctors questions (21% vs. 4%, p=0.01) than controls.",0,UNK,1687,1909
0,11179,32174,True,True,no significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12) and treatment (26% vs. 45%, p=0.07),",0,UNK,1687,1824
6,11179,32174,True,True,no significant difference,"PHR group patients reported receiving fewer explanations about their condition (18% vs. 33%, p=0.12) and treatment (26% vs. 45%, p=0.07)",0,UNK,1687,1823
0,11180,88884,True,True,no significant difference,"(1) Smoking causes bad breath ....................
98.4
100
N.S.
",0,UNK,16847,16912
1,11180,88884,True,True,no significant difference,"(1) Smoking causes bad breath ....................
98.4
100
N.S.
99.7
N.S.
",0,UNK,16847,16922
0,11181,88884,True,True,significantly increased,"(2) Smokers have yellow teeth and fingers ............
72.0
96.5
p = 0.0313
",1,UNK,16922,16998
1,11181,88884,True,True,significantly increase,"(2) Smokers have yellow teeth and fingers ............
72.0
96.5
p = 0.0313
95.1
p = 0.0313
",1,UNK,16922,17014
0,11183,88884,False,False,no significant difference,"(4) Smokers have clean smelling clothes ............
89.2
91.6
N.S.
",0,UNK,17093,17161
6,11183,88884,True,True,significantly increase,"Smokers have clean smelling clothes .............
90.0
94.5
p < 0.0001
",1,UNK,22218,22289
0,11185,88884,True,True,significantly increased,"(6) Smoking 1 pack of cigarettes a day costs several hundred dollars per year.................
81.5
91.8
p = 0.0313
",1,UNK,17287,17403
1,11185,88884,True,True,significantly increase,It was also found that retention on two knowledge items 'recognition that smokers have yellow teeth and fingers' and 'smoking one pack of cigarettes a day costs several hundred dollars per year' was maintained for four months.,1,UNK,1264,1490
0,11186,88884,True,True,no significant difference,"(7) People who use tobacco are popular and glamorous . .
93.2
91.3
N.S",0,UNK,17453,17523
3,11186,88884,True,True,no significant difference,"People who use tobacco are popular and glamorous . .
93.2
91.3
N.S.
96.9
N.S",0,UNK,17457,17533
0,11188,88884,True,True,no significant difference,"(9) Smoking is relaxing ........................ . .
87.2
90.2
N.S.
",0,UNK,17651,17719
1,11188,88884,True,True,no significant difference,"Smoking is relaxing ..........................
89.9
89.4
N.S.
",0,UNK,22740,22802
0,11189,88884,True,True,no significant difference,"(10) Advertising tells the truth about the effects of tobacco use. ............................
73.1
81.0
N.S.
",0,UNK,17729,17840
3,11189,88884,True,True,no significant difference,"Advertising tells the truth about the effects of tobacco use. ............................
73.1
81.0
N.S.
79.9
N.S",0,UNK,17734,17848
0,11190,88884,True,True,no significant difference,"(11) What percentage of kids your age (5th graders) use tobacco every week ....
30.6
45.2
N.S.
",0,UNK,19641,19736
7,11190,88884,True,True,no significant difference,"Knowledge of tobacco use prevalence:





(11) What percentage of kids your age (5th graders) use tobacco every week ....
30.6
45.2
N.S.
29.3
N.S.
",0,UNK,19599,19746
0,11193,60660,True,True,no significant difference,We did not observe significant differences of folate levels between UV exposed and non-exposed volunteers (P > 0.05).,0,UNK,6473,6590
6,11193,60660,True,True,no significant difference,"We did not observe significant differences of folate levels between UV exposed and non-exposed volunteers (P > 0.05).
Table 1",0,UNK,6473,6598
0,11193,60660,True,True,no significant difference,We did not observe significant differences of folate levels between UV exposed and non-exposed volunteers (P > 0.05).,0,UNK,6473,6590
7,11194,65676,True,True,significantly increase,Using questionnaires in this study produced data on a greater number of patients compared with examination of hospital records.,1,UNK,1248,1375
0,11195,65045,True,True,no significant difference,"The 2nd phase of the study revealed no differences in test scores (p = 0.74) or self reported confidence scores (p = 0.36),",0,UNK,10628,10751
